1,48,50,2017/5/5 12:20,2017/5/5 15:10,30,0,0,0
2,48,50,2017/5/7 14:10,2017/5/7 17:00,31,0,0,0
3,48,50,2017/5/8 12:20,2017/5/8 15:10,44,0,0,0
4,49,48,2017/5/5 21:00,2017/5/5 23:45,89,0,0,0
5,48,50,2017/5/6 12:20,2017/5/6 15:10,40,1,0,0
6,68,49,2017/5/6 11:15,2017/5/6 13:25,49,0,0,0
7,68,49,2017/5/8 11:15,2017/5/8 13:25,122,0,0,0
8,68,49,2017/5/5 11:15,2017/5/5 13:25,54,0,0,0
9,50,48,2017/5/5 8:05,2017/5/5 11:00,30,0,0,0
10,50,48,2017/5/6 8:05,2017/5/6 11:00,31,0,0,0
11,50,48,2017/5/7 8:05,2017/5/7 11:00,40,1,0,0
12,50,48,2017/5/8 8:05,2017/5/8 11:00,44,0,0,0
13,48,49,2017/5/5 8:05,2017/5/5 10:45,103,0,0,0
14,48,49,2017/5/6 8:05,2017/5/6 10:45,89,0,0,0
15,50,72,2017/5/5 7:30,2017/5/5 10:25,72,0,0,0
16,50,72,2017/5/6 7:30,2017/5/6 10:25,115,0,0,0
17,50,72,2017/5/7 7:30,2017/5/7 10:25,69,1,0,0
18,50,72,2017/5/8 7:30,2017/5/8 10:25,135,1,0,0
19,36,4,2017/5/5 12:45,2017/5/6 1:25,20,0,0,0
20,72,49,2017/5/7 15:15,2017/5/7 17:55,29,0,0,0
21,72,49,2017/5/8 15:15,2017/5/8 17:55,28,0,0,0
22,71,32,2017/5/7 12:30,2017/5/7 14:15,118,0,0,0
23,32,49,2017/5/7 15:35,2017/5/7 17:00,118,0,0,0
24,72,49,2017/5/5 15:15,2017/5/5 17:55,58,0,0,0
25,72,49,2017/5/6 15:15,2017/5/6 17:55,29,1,0,0
26,50,72,2017/5/5 16:25,2017/5/5 19:25,78,0,0,0
27,50,72,2017/5/6 16:00,2017/5/6 19:00,101,1,0,0
28,50,72,2017/5/7 17:50,2017/5/7 20:50,94,0,0,0
29,50,72,2017/5/8 16:25,2017/5/8 19:25,50,0,0,0
30,68,49,2017/5/7 21:15,2017/5/7 23:10,46,0,0,0
31,71,32,2017/5/8 12:30,2017/5/8 14:15,101,0,0,0
32,32,49,2017/5/8 15:15,2017/5/8 16:40,101,0,0,0
33,72,50,2017/5/7 20:25,2017/5/7 23:10,8,0,0,0
34,50,67,2017/5/5 10:50,2017/5/5 13:20,46,0,0,0
35,50,67,2017/5/6 10:50,2017/5/6 13:20,90,0,0,0
36,50,67,2017/5/7 10:50,2017/5/7 13:20,15,1,0,0
37,50,67,2017/5/8 10:50,2017/5/8 13:20,15,0,0,0
38,68,49,2017/5/8 21:15,2017/5/8 23:10,33,0,0,0
39,72,50,2017/5/6 20:25,2017/5/6 23:10,101,1,0,0
40,72,50,2017/5/5 20:25,2017/5/5 23:10,78,0,0,0
41,72,50,2017/5/8 20:25,2017/5/8 23:10,50,0,0,0
42,49,32,2017/5/5 7:15,2017/5/5 8:50,56,0,0,0
43,49,32,2017/5/6 7:15,2017/5/6 8:50,109,0,0,0
44,49,32,2017/5/7 7:15,2017/5/7 8:50,92,1,0,0
45,49,32,2017/5/8 7:15,2017/5/8 8:50,101,0,0,0
46,71,32,2017/5/5 12:30,2017/5/5 14:15,56,0,0,0
47,32,49,2017/5/5 15:15,2017/5/5 16:40,56,0,0,0
48,71,32,2017/5/6 12:30,2017/5/6 14:15,109,0,0,0
49,67,50,2017/5/5 14:30,2017/5/5 16:55,46,0,0,0
50,67,50,2017/5/6 14:30,2017/5/6 16:55,12,1,0,0
51,67,50,2017/5/7 14:35,2017/5/7 17:00,94,0,0,0
52,67,50,2017/5/8 14:30,2017/5/8 16:55,15,0,0,0
53,32,49,2017/5/6 15:15,2017/5/6 16:40,7,1,0,0
54,72,50,2017/5/7 14:15,2017/5/7 17:00,115,0,0,0
55,49,72,2017/5/5 11:15,2017/5/5 14:10,58,0,0,0
56,72,50,2017/5/5 11:40,2017/5/5 14:25,70,0,0,0
57,72,50,2017/5/6 11:40,2017/5/6 14:25,134,1,0,0
58,72,50,2017/5/8 11:40,2017/5/8 14:25,50,0,0,0
59,49,72,2017/5/6 11:15,2017/5/6 14:10,29,0,0,0
60,49,72,2017/5/7 11:15,2017/5/7 14:10,29,1,0,0
61,49,72,2017/5/8 11:15,2017/5/8 14:10,28,0,0,0
62,32,71,2017/5/5 10:10,2017/5/5 11:45,56,0,0,0
63,32,71,2017/5/6 10:10,2017/5/6 11:45,109,0,0,0
64,32,71,2017/5/7 10:10,2017/5/7 11:45,118,0,0,0
65,32,71,2017/5/8 10:10,2017/5/8 11:45,101,0,0,0
66,49,36,2017/5/5 9:30,2017/5/5 10:45,20,0,0,0
67,49,68,2017/5/7 18:20,2017/5/7 20:25,46,0,0,0
68,49,68,2017/5/8 18:20,2017/5/8 20:25,33,0,0,0
69,4,36,2017/5/6 4:25,2017/5/6 18:15,20,0,0,0
70,50,48,2017/5/5 15:55,2017/5/5 19:05,33,0,0,0
71,50,48,2017/5/7 17:50,2017/5/7 21:00,31,0,0,0
72,50,48,2017/5/8 15:55,2017/5/8 19:05,40,0,0,0
73,36,49,2017/5/6 20:25,2017/5/6 21:40,24,1,0,0
74,49,67,2017/5/6 7:10,2017/5/6 9:50,41,0,0,0
75,49,67,2017/5/8 7:10,2017/5/8 9:50,30,0,0,0
76,49,67,2017/5/5 21:05,2017/5/5 23:35,93,0,0,0
77,49,67,2017/5/6 16:00,2017/5/6 18:30,121,1,0,0
78,49,67,2017/5/7 21:05,2017/5/7 23:35,39,0,0,0
79,49,67,2017/5/8 21:05,2017/5/8 23:35,90,0,0,0
80,67,69,2017/5/6 10:55,2017/5/6 13:40,41,0,0,0
81,67,69,2017/5/8 10:55,2017/5/8 13:40,30,0,0,0
82,50,38,2017/5/7 18:40,2017/5/7 20:15,113,0,0,0
83,48,50,2017/5/5 20:15,2017/5/5 23:00,33,0,0,0
84,48,50,2017/5/7 21:50,2017/5/8 0:35,31,0,0,0
85,48,50,2017/5/8 20:15,2017/5/8 23:00,40,0,0,0
86,50,68,2017/5/5 8:50,2017/5/5 11:05,33,0,0,0
87,50,68,2017/5/6 8:50,2017/5/6 11:05,128,0,0,0
88,50,68,2017/5/7 17:50,2017/5/7 20:05,63,0,0,0
89,50,68,2017/5/8 8:50,2017/5/8 11:05,40,0,0,0
90,49,67,2017/5/5 7:10,2017/5/5 9:50,41,0,0,0
91,67,69,2017/5/5 10:55,2017/5/5 13:40,41,0,0,0
92,67,49,2017/5/5 11:45,2017/5/5 14:15,88,0,0,0
